bin	value
0.05	20273
0.1	9016
0.15	8867
0.2	4088
0.25	2733
0.3	3103
0.35	1389
0.4	574
0.45	713
0.5	81
0.55	791
0.6	337
0.65	386
0.7	341
0.75	431
0.8	399
0.85	418
0.9	69
0.95	57
1	430
