bin	value
0.05	2974
0.1	910
0.15	1517
0.2	329
0.25	31
0.3	28
0.35	0
0.4	12
0.45	0
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0
0.9	0
0.95	0
1	0
