bin	value
0.05	25848
0.1	9009
0.15	8727
0.2	3719
0.25	2142
0.3	2240
0.35	867
0.4	488
0.45	480
0.5	9
0.55	234
0.6	100
0.65	0
0.7	157
0.75	0
0.8	2
0.85	146
0.9	0
0.95	0
1	328
