bin	value
0.05	20807
0.1	10220
0.15	9295
0.2	3936
0.25	2832
0.3	3133
0.35	731
0.4	511
0.45	1380
0.5	48
0.55	387
0.6	193
0.65	0
0.7	565
0.75	10
0.8	8
0.85	32
0.9	0
0.95	0
1	408
