bin	value
0.05	19072
0.1	10411
0.15	10581
0.2	4772
0.25	2704
0.3	2927
0.35	843
0.4	375
0.45	1223
0.5	55
0.55	459
0.6	180
0.65	0
0.7	514
0.75	7
0.8	17
0.85	20
0.9	0
0.95	0
1	336
