bin	value
0.05	35624
0.1	10978
0.15	3506
0.2	2170
0.25	982
0.3	496
0.35	352
0.4	59
0.45	329
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0
0.9	0
0.95	0
1	0
