bin	value
0.05	24725
0.1	7316
0.15	6645
0.2	2547
0.25	2436
0.3	2832
0.35	907
0.4	1473
0.45	739
0.5	151
0.55	1143
0.6	598
0.65	602
0.7	522
0.75	114
0.8	519
0.85	625
0.9	50
0.95	91
1	461
