bin	value
0.05	30459
0.1	11795
0.15	4855
0.2	2454
0.25	2096
0.3	1407
0.35	678
0.4	328
0.45	424
0.5	0
0.55	0
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0
0.9	0
0.95	0
1	0
